PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST2.9x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.9x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	1.88	13.0	1.1	1.1	9.8	5.4	5.0	2.3	0.1	2.1	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.9x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	1.88	16.0	1.1	1.1	12.8	5.4	5.0	2.3	0.1	2.1	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.9x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	1.88	19.0	1.1	1.1	15.8	5.4	5.0	2.3	0.1	2.1	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x6.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x6.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	6.5	1.3	1.3	2.7	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x9.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x9.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	9.5	1.3	1.3	5.7	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	13.0	1.3	1.3	9.2	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	16.0	1.3	1.3	12.2	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	19.0	1.3	1.3	15.2	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST3.5x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	2.26	22.0	1.3	1.3	18.2	5.96	5.5	2.6	0.1	2.5	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x9.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x9.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	9.5	1.4	1.4	5.3	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	13.0	1.4	1.4	8.8	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	16.0	1.4	1.4	11.8	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
