PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M6x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	5.6875	6.0	120.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	7.5581	8.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	9.5581	10.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	11.5581	12.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	13.5581	14.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	15.5581	16.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	19.5581	20.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x25 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x25_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	24.5581	25.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M6x30 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M6x30_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M6	6.0	1.0	29.5581	30.0	90.0	8.4	1.0	2.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	7.4476	8.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	9.4476	10.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
