PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M8X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	34.4476	35.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	39.4476	40.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	7.5313	8.0	120.0	6.0	5.7	5.72	5.0	4.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	9.5313	10.0	120.0	6.0	5.7	5.72	5.0	4.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	11.3371	12.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	15.3371	16.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	19.3371	20.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	24.3371	25.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	29.3371	30.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	34.3371	35.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
