PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 8x18 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x18_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	18.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	20.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	22.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	24.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	26.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	28.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	30.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	32.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	35.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	40.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	45.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	50.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	55.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	60.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x65 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x65_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	65.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
